Nom_station,Capacite_station
Arche - Léonard de Vinci,28
Jean Calvin - Tournefort,28
Village Saint-Paul,28
Batignolles - Abel Truchet,28
Place Jules Ferry,28
Davout - Volga,28
Archives - Pastourelle,28
Béranger - Félix Faure,28
Clef des Champs - Albert Dhalenne,28
Simone Signoret - Paris,28
Guichet - Jean Jaurès,28
Jeûneurs - Mulhouse,28
Gare de la Garenne-Colombes,28
Victor Hugo - Jeanne Jugan,28
Place de la Porte de Champerret,28
Pierret - Madrid,28
Poissonniers - Championnet,28
Bobillot - Moulin des Prés,28
Place Tristan Bernard,28
Edouard Vaillant - Paul-Adolphe Souriau,28
Place de l'Eglise - Vitry-sur-Seine,28
Gare du Nord - Faubourg Saint-Denis,28
Charles de Gaulle - Graviers,28
Mairie du 2ème,28
Danielle Casanova - Ledru-Rollin,28
Boussingault - Tolbiac,28
Bagnolet - Place Saint-Blaise,28
Mairie de Bagnolet,28
Marceau Delorme - Pierre Brossolette,28
Tiron - Rivoli,28
Anatole France - Jean Lolive,28
Gare Saint-Lazare - Isly,27
Marcelin Berthelot,27
Président Wilson - Jean Jaures,27
Marne - Charles de Gaulle,27
Hôtel de Ville de Vincennes,27
Maine - Liancourt,27
Henri Barbusse - Gabriel Péri,27
Capitaine Glarner - Gabriel Péri,27
Mairie du 19ème,27
Roger Salengro - Général de Gaulle,27
Granges aux Belles,27
Commandant Rivière,27
Sèvres-Gallieni,27
Douai - Bruxelles,27
Charonne - Avron,27
Lucien Lanternier - Le Luth,27
Pierre et Marie Curie - Maurice Thorez,27
Sadi Carnot - François Mitterrand,27
Vivaldi - Antoine-Julien Hénard,27
Place du Maréchal de Lattre de Tassigny,27
Mairie du 7ème,27
Edouard Pailleron - Bouret,27
Arago - Glacière,27
Voltaire - Anatole France,27
Edgar Quinet - Gaité,27
Henri Chevreau - Couronnes,27
Place du Colonel Fabien,27
Carducci - Place Hannah Arendt,27
Transvaal - Charles de Gaulle,27
Claude Decaen - Cannebière,27
Saint-Blaise - Mouraud,27
Gare d'Austerlitz - Quai Saint-Bernard,27
Place Aimé Césaire,27
Ventadour - Opéra,27
Quai de l'Aisne - Général Leclerc,27
Saint Lambert - Blomet,27
Porte de la Villette,27
